RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
163,2,59866,Nick Dunlap,72.173,2122,43.184,30
164,-2,30926,Chris Kirk,72.185,2124,41.546,30
165,-4,27139,David Skinns,72.192,1784,20.806,25
166,0,48081,Xander Schauffele,72.317,1147,10.069,16
167,0,50474,Tim Widing,72.325,1424,22.506,20
168,-13,32757,Patton Kizzire,72.355,1632,32.154,23
169,7,57366,Cameron Young,72.411,2219,25.746,31
170,-6,22371,Aaron Baddeley,72.464,1794,17.600,25
171,-2,51690,Taylor Dickson,72.607,1794,21.174,25
172,-2,58933,Will Chandler,72.617,1943,17.668,27
173,-1,36326,David Lipsky,72.618,2143,35.544,30
174,-3,40098,Matt Fitzpatrick,72.630,1573,24.860,22
175,-2,52144,Braden Thornberry,72.633,1357,23.026,19
176,-1,49453,Trevor Cone,72.698,1503,23.655,21
177,-3,54813,Philip Knowles,72.743,1288,21.377,18
178,-1,48153,Matthieu Pavon,72.782,2306,23.015,32
179,1,45523,Thriston Lawrence,72.860,1440,17.195,20
180,-1,34466,Peter Malnati,72.972,2226,36.139,31
181,-3,39859,Cristobal Del Solar,72.976,1802,22.407,25
182,0,55708,Hayden Buckley,73.005,1149,19.076,16
183,-2,32070,Rafael Campos,73.244,2386,31.061,33
184,-2,23320,Ryan Palmer,73.546,1731,34.114,24
185,-2,39977,Max Homa,73.638,1376,23.126,19
